,rank,rating,name,score/round,damage/round,k/d_ratio,hs_percentage(%),win_percentage(%),top_3_agents,top_weapon,top_weapon_hs_percentage(%)
0,4,1094,SEN dephh#yadig,230.5,152.3,1.16,30.6,58.1,"['Astra', 'Chamber', 'Viper']","['Vandal', 'Phantom', 'Ghost']",44
1,6,1068,RICEBALLINNN#ani,226.8,150.3,1.21,26.9,60.9,"['Sova', 'Breach', 'Fade']","['Vandal', 'Spectre', 'Classic']",39
2,1,1126,N4RRATE#JESUS,263.7,170.2,1.27,21.9,64.3,"['Raze', 'Chamber', 'Reyna']","['Vandal', 'Phantom', 'Operator']",32
3,3,1104,100T Asuna#1111,261.5,168.2,1.29,25.6,63.8,"['Fade', 'Raze', 'Reyna']","['Vandal', 'Phantom', 'Ghost']",36
4,2,1126,SEN zekken#5193,266.3,173.6,1.39,41.6,65.8,"['Sova', 'Chamber', 'Raze']","['Vandal', 'Ghost', 'Spectre']",57
5,7,1066,EG BcJ#5FT2,233.0,151.9,1.21,20.2,60.9,"['Chamber', 'Astra', 'Brimstone']","['Vandal', 'Phantom', 'Spectre']",30
6,9,1057,V1 Zander#swag,235.4,152.7,1.21,28.3,60.0,"['Viper', 'Omen', 'Brimstone']","['Vandal', 'Spectre', 'Phantom']",40
7,8,1062,nabil#jess,277.7,182.8,1.32,28.4,67.3,"['Reyna', 'Sova', 'Raze']","['Vandal', 'Phantom', 'Ghost']",42
8,5,1083,NRG s0m#NRG,249.8,159.6,1.30,29.4,60.6,"['Astra', 'Sova', 'Brimstone']","['Vandal', 'Stinger', 'Phantom']",47
9,11,1046,zeldrisFN2005#Bugha,270.5,172.4,1.40,29.2,64.2,"['Jett', 'Chamber', 'Raze']","['Vandal', 'Operator', 'Spectre']",43
10,10,1054,ANDR0IDX23#ZpG,234.1,154.1,1.22,32.2,55.9,"['KAY/O', 'Raze', 'Viper']","['Vandal', 'Phantom', 'Ghost']",46
11,12,1040,BabyJ#Halo,237.7,155.5,1.25,31.9,58.0,"['Sage', 'Cypher', 'Fade']","['Vandal', 'Ghost', 'Classic']",42
12,13,996,Kanpeki#1111,246.4,161.7,1.22,28.7,55.5,"['Jett', 'Chamber', 'Breach']","['Vandal', 'Sheriff', 'Phantom']",40
13,14,981,OXG Reduxx#stop,272.4,175.0,1.26,34.4,61.6,"['Jett', 'Chamber', 'Raze']","['Vandal', 'Sheriff', 'Operator']",51
14,15,972,Jonaaa6#1109,221.5,144.4,1.10,26.5,56.5,"['Chamber', 'Sova', 'KAY/O']","['Vandal', 'Phantom', 'Ghost']",37
15,16,959,GUARD trent#Habib,247.8,161.4,1.20,31.2,57.0,"['Sova', 'Jett', 'Raze']","['Vandal', 'Phantom', 'Spectre']",48
16,17,955,brawk#uwu,231.0,152.8,1.22,26.3,59.2,"['Fade', 'Sova', 'Astra']","['Vandal', 'Phantom', 'Ghost']",37
17,19,933,SEN tarik#1337,254.4,164.0,1.28,23.5,55.1,"['Chamber', 'Jett', 'Reyna']","['Vandal', 'Operator', 'Phantom']",33
18,18,945,EG JAWGEMO#MOR,246.6,159.2,1.17,25.9,60.0,"['Raze', 'Jett', 'Chamber']","['Vandal', 'Ghost', 'Phantom']",40
19,20,927,wedid#0702,231.1,152.5,1.20,32.8,60.2,"['Viper', 'Raze', 'Omen']","['Vandal', 'Phantom', 'Ghost']",46
20,21,926,NaturE#RAT,262.3,169.6,1.23,28.0,60.9,"['Jett', 'KAY/O', 'Fade']","['Vandal', 'Phantom', 'Operator']",43
21,22,917,EG Apoth#DOG,230.9,150.7,1.16,32.3,59.0,"['Viper', 'Omen', 'Brimstone']","['Vandal', 'Phantom', 'Ghost']",44
22,23,911,TSM Rossy x1#jess,223.0,146.0,1.20,31.3,57.0,"['Sova', 'Breach', 'Astra']","['Vandal', 'Classic', 'Bulldog']",44
23,25,909,Korsonix#100,216.2,141.1,1.23,30.0,64.8,"['Astra', 'Viper', 'Brimstone']","['Vandal', 'Ghost', 'Spectre']",43
24,27,900,C9 vanity#XITER,228.0,149.3,1.14,19.2,64.1,"['Reyna', 'Raze', 'Cypher']","['Vandal', 'Phantom', 'Operator']",30
25,26,901,sexy bean#jakee,270.4,172.0,1.23,34.6,51.7,"['Jett', 'Viper', 'Chamber']","['Vandal', 'Ghost', 'Sheriff']",44
26,28,899,KING VINNY#NA1,229.4,149.1,1.15,26.2,59.7,"['Chamber', 'Jett', 'KAY/O']","['Vandal', 'Operator', 'Phantom']",38
27,29,898,Bart#00000,230.8,153.0,1.06,33.6,61.8,"['Jett', 'Reyna', 'Phoenix']","['Vandal', 'Ghost', 'Marshal']",49
28,30,895,T1 ban#xuf,252.0,161.0,1.16,30.2,53.1,"['Chamber', 'Jett', 'Reyna']","['Vandal', 'Phantom', 'Operator']",46
29,31,895,curry#66666,255.9,164.5,1.19,24.9,55.5,"['KAY/O', 'Raze', 'Fade']","['Vandal', 'Phantom', 'Ghost']",39
30,38,870,Eggsterr#NJLTC,237.8,152.4,1.02,24.6,53.4,"['Yoru', 'Skye', 'Sova']","['Vandal', 'Phantom', 'Stinger']",41
31,33,885,WaterBuffalo#Buff,218.0,143.6,1.14,26.9,52.8,"['Sova', 'Chamber', 'Fade']","['Vandal', 'Operator', 'Phantom']",39
32,34,883,SR mada#1945,240.7,156.5,1.08,30.3,55.6,"['Raze', 'Reyna', 'Chamber']","['Vandal', 'Ghost', 'Spectre']",46
33,32,893,i want real sage#imeow,238.7,152.9,1.09,35.4,59.5,"['Chamber', 'Jett', 'Raze']","['Vandal', 'Phantom', 'Spectre']",56
34,35,876,C9 Zellsis#1240,226.0,147.5,1.05,25.5,51.6,"['Raze', 'KAY/O', 'Sova']","['Vandal', 'Phantom', 'Stinger']",41
35,36,876,add3r#LFHER,233.4,153.9,1.18,34.9,58.1,"['Sova', 'Fade', 'Omen']","['Vandal', 'Phantom', 'Ghost']",48
36,37,872,nillyaz#sosa,218.8,144.2,1.15,30.2,53.5,"['Astra', 'Sova', 'KAY/O']","['Phantom', 'Vandal', 'Spectre']",41
37,39,865,zt0L#TTV,216.1,136.4,1.02,22.9,48.5,"['Fade', 'Neon', 'Reyna']","['Vandal', 'Phantom', 'Stinger']",37
38,40,861,stallion#MUNCH,207.6,136.5,1.01,23.1,52.6,"['Raze', 'Fade', 'Jett']","['Vandal', 'Phantom', 'Spectre']",37
