rank,rating,name,score/round,damage/round,k/d_ratio,hs_percentage(%),win_percentage(%),top_1_agents_name,top_1_agents_hours,top_1_agents_win%,top_1_agents_acs,top_2_agents_name,top_2_agents_hours,top_2_agents_win%,top_2_agents_acs,top_3_agents_name,top_3_agents_hours,top_3_agents_win%,top_3_agents_acs,top_1_weapon,top_1_weapon_kills,top_1_hs%,top_2_weapon,top_2_weapon_kills,top_2_weapon_hs%,top_3_weapon,top_3_weapon_kills,top_3_weapon_hs%
1,1196,SEN dephh#yadig,230.6,152.2,1.17,30.5,60.1,Astra,53.0,55.4,222.5,Chamber,37.0,65.6,242.1,Viper,20.0,67.6,229.3,Vandal,"2,508",43,Phantom,386,37,Operator,247,10
2,1171,NRG s0m#NRG,251.2,160.4,1.31,29.1,62.3,Astra,44.0,56.6,241.3,Sova,36.0,69.6,247.0,Brimstone,22.0,63.2,252.1,Vandal,"3,884",46,Stinger,970,27,Phantom,748,40
3,1163,ANDR0IDX23#ZpG,234.8,154.6,1.22,32.1,58.2,KAY/O,23.0,61.9,243.4,Raze,21.0,65.8,265.2,Viper,19.0,47.1,231.8,Vandal,"2,538",46,Phantom,344,37,Ghost,276,52
4,1136,RICEBALLINNN#ani,228.2,150.6,1.21,27.0,62.5,Sova,65.0,62.9,237.7,Breach,14.0,69.6,188.0,Chamber,10.0,73.7,227.6,Vandal,"2,048",40,Classic,223,31,Spectre,221,28
5,1125,SEN zekken#5193,267.5,174.2,1.4,41.4,65.7,Sova,32.0,82.5,265.7,Chamber,15.0,58.6,282.3,Reyna,11.0,70.0,267.9,Vandal,"2,686",57,Ghost,276,52,Spectre,211,48
6,1120,100T Asuna#1111,261.9,168.6,1.28,25.2,64.1,Fade,16.0,80.6,241.3,Raze,15.0,61.5,282.5,Reyna,9.8,70.0,300.6,Vandal,"1,531",36,Phantom,359,34,Ghost,212,45
7,1093,EG BcJ#5FT2,232.5,151.7,1.21,20.1,61.4,Chamber,15.0,55.6,242.1,Astra,13.0,73.9,231.7,Brimstone,12.0,38.1,242.0,Vandal,"1,867",30,Phantom,564,25,Spectre,171,20
8,1075,curry#66666,254.8,163.6,1.21,25.0,58.4,KAY/O,21.0,54.1,244.6,Raze,14.0,53.8,296.8,Sova,11.0,61.9,247.9,Vandal,"1,875",39,Phantom,623,28,Ghost,245,42
9,1063,zeldris#ALTEA,270.8,172.5,1.4,29.2,64.4,Jett,25.0,70.2,282.3,Chamber,22.0,59.0,270.2,Raze,22.0,74.4,295.2,Vandal,"1,554",43,Operator,352,8,Spectre,222,29
10,1062,nabil#jess,277.7,182.8,1.32,28.4,67.3,Reyna,24.0,71.1,291.3,Sova,8.9,68.8,246.2,Raze,6.7,69.2,263.9,Vandal,"1,343",42,Phantom,209,32,Ghost,186,47
